USDJPY, 11, 47, 9, 11
USDJPY, 11, 25, 9, 9
USDJPY, 1, 25, 1, 7
USDJPY, 9, 44, 5, 3
USDJPY, 1, 29, 1, 5
USDJPY, 11, 26, 9, 9
USDJPY, 4, 13, 3, 17
USDJPY, 4, 13, 3, 15
USDJPY, 4, 13, 3, 19
USDJPY, 4, 18, 3, 9
USDJPY, 1, 29, 3, 11
USDJPY, 2, 25, 1, 7
USDJPY, 6, 18, 17, 3
USDJPY, 6, 25, 17, 1
USDJPY, 11, 30, 9, 15
USDJPY, 10, 25, 5, 7
USDJPY, 11, 25, 11, 5
USDJPY, 1, 25, 3, 11
USDJPY, 1, 29, 1, 7
USDJPY, 9, 23, 3, 13
USDJPY, 9, 23, 3, 11
USDJPY, 11, 47, 11, 11
USDJPY, 11, 44, 11, 11
USDJPY, 11, 44, 9, 11
CADJPY, 11, 33, 11, 15
CADJPY, 11, 36, 11, 15
CADJPY, 9, 36, 5, 15
CADJPY, 9, 33, 5, 15
CADJPY, 8, 33, 3, 15
CADJPY, 8, 36, 3, 15
